Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,operating_profit
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ",300000,50%,In-store,2020,1,300000
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,"1,000","$500,000 ",150000,30%,In-store,2020,1,150000
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,$40.00 ,"1,000","$400,000 ",140000,35%,In-store,2020,1,140000
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,850,"$382,500 ",133875,35%,In-store,2020,1,133875
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ",162000,30%,In-store,2020,1,162000
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ",125000,25%,In-store,2020,1,125000
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,250","$625,000 ",312500,50%,In-store,2020,1,312500
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ",135000,30%,Outlet,2020,1,135000
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ",133000,35%,Outlet,2020,1,133000
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ",129938,35%,Outlet,2020,1,129938
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ",162000,30%,Outlet,2020,1,162000
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ",125000,25%,Outlet,2020,1,125000
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,220","$610,000 ",305000,50%,Outlet,2020,1,305000
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,925,"$462,500 ",138750,30%,Outlet,2020,1,138750
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ",133000,35%,Outlet,2020,1,133000
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,800,"$360,000 ",126000,35%,Outlet,2020,1,126000
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,$60.00 ,850,"$510,000 ",153000,30%,Outlet,2020,1,153000
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ",118750,25%,Outlet,2020,1,118750
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ",300000,50%,Outlet,2020,1,300000
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ",135000,30%,Outlet,2020,2,135000
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,$40.00 ,900,"$360,000 ",126000,35%,Outlet,2020,2,126000
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ",129938,35%,Outlet,2020,2,129938
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,$60.00 ,825,"$495,000 ",148500,30%,Outlet,2020,2,148500
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ",118750,25%,Outlet,2020,2,118750
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,220","$732,000 ",366000,50%,Outlet,2020,2,366000
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,925,"$508,750 ",152625,30%,Outlet,2020,2,152625
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,$50.00 ,900,"$450,000 ",157500,35%,Outlet,2020,2,157500
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,850,"$425,000 ",148750,35%,Outlet,2020,2,148750
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,$60.00 ,875,"$525,000 ",157500,30%,Outlet,2020,2,157500
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ",162500,25%,Outlet,2020,3,162500
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ",375000,50%,Outlet,2020,3,375000
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ",165000,30%,Outlet,2020,3,165000
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ",161875,35%,Outlet,2020,3,161875
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ",157500,35%,Outlet,2020,3,157500
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ",162000,30%,Outlet,2020,3,162000
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,050","$682,500 ",170625,25%,Outlet,2020,3,170625
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,275","$765,000 ",382500,50%,Outlet,2020,3,382500
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ",169125,30%,Outlet,2020,3,169125
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ",166250,35%,Outlet,2020,3,166250
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ",157500,35%,Outlet,2020,3,157500
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,$60.00 ,925,"$555,000 ",166500,30%,Outlet,2020,3,166500
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,100","$715,000 ",178750,25%,Outlet,2020,3,178750
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ",375000,50%,Outlet,2020,3,375000
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ",169125,30%,Outlet,2020,3,169125
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ",166250,35%,Outlet,2020,3,166250
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,925,"$462,500 ",161875,35%,Outlet,2020,3,161875
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ",162000,30%,Outlet,2020,4,162000
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,075","$698,750 ",174688,25%,Outlet,2020,4,174688
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,200","$720,000 ",360000,50%,Outlet,2020,4,360000
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ",165000,30%,Outlet,2020,4,165000
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ",161875,35%,Outlet,2020,4,161875
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ",157500,35%,Outlet,2020,4,157500
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ",162000,30%,Outlet,2020,4,162000
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ",162500,25%,Outlet,2020,4,162500
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ",170625,30%,Outlet,2020,4,170625
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ",175000,25%,Outlet,2020,4,175000
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,150","$747,500 ",373750,50%,Outlet,2020,4,373750
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,975,"$536,250 ",160875,30%,Outlet,2020,4,160875
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,$55.00 ,920,"$506,000 ",177100,35%,Outlet,2020,4,177100
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ",173250,35%,Outlet,2020,4,173250
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ",170625,30%,Outlet,2020,5,170625
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,$70.00 ,975,"$682,500 ",170625,25%,Outlet,2020,5,170625
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,200","$780,000 ",390000,50%,Outlet,2020,5,390000
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ",165000,30%,Outlet,2020,5,165000
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,$55.00 ,950,"$522,500 ",182875,35%,Outlet,2020,5,182875
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ",173250,35%,Outlet,2020,5,173250
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,$65.00 ,900,"$585,000 ",175500,30%,Outlet,2020,5,175500
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ",175000,25%,Outlet,2020,7,175000
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,$25.00 ,900,"$225,000 ",78750,35%,Outlet,2020,7,78750
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,900,"$315,000 ",110250,35%,Outlet,2020,7,110250
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,$35.00 ,700,"$245,000 ",85750,35%,Outlet,2020,7,85750
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,$35.00 ,700,"$245,000 ",110250,45%,Outlet,2020,7,110250
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,$40.00 ,550,"$220,000 ",66000,30%,Outlet,2020,7,66000
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ",122500,50%,Outlet,2020,7,122500
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,$25.00 ,850,"$212,500 ",74375,35%,Outlet,2020,7,74375
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,$35.00 ,850,"$297,500 ",104125,35%,Outlet,2020,7,104125
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,$35.00 ,675,"$236,250 ",82688,35%,Outlet,2020,7,82688
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,$35.00 ,625,"$218,750 ",98438,45%,Outlet,2020,7,98438
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,$40.00 ,500,"$200,000 ",60000,30%,Outlet,2020,7,60000
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ",122500,50%,Outlet,2020,7,122500
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,$30.00 ,875,"$262,500 ",91875,35%,Outlet,2020,7,91875
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,875,"$350,000 ",122500,35%,Outlet,2020,8,122500
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,$35.00 ,700,"$245,000 ",85750,35%,Outlet,2020,8,85750
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,600,"$240,000 ",108000,45%,Outlet,2020,8,108000
